measured mz, measured rt, matched mz, matched rt
342.140778, 12.999080, 342.140810, 13.024070
342.141968, 12.999080, 342.140810, 13.024070
176.102219, 13.022912, 176.102968, 13.030234
176.102646, 13.022912, 176.102968, 13.030234
176.103088, 13.022912, 176.102968, 13.030234
176.103531, 13.022912, 176.102968, 13.030234
231.026108, 13.022912, 231.026430, 13.027718
231.026764, 13.022912, 231.026430, 13.027718
231.027435, 13.022912, 231.026430, 13.027718
176.102219, 13.046748, 176.102968, 13.030234
176.102646, 13.046748, 176.102968, 13.030234
176.103088, 13.046748, 176.102968, 13.030234
176.103531, 13.046748, 176.102968, 13.030234
342.139587, 13.046748, 342.140810, 13.024070
342.140778, 13.046748, 342.140810, 13.024070
342.141968, 13.046748, 342.140810, 13.024070
273.037689, 13.643912, 273.036995, 13.661042
260.052185, 13.667913, 260.052979, 13.700000
260.052979, 13.667913, 260.052979, 13.700000
260.053772, 13.667913, 260.052979, 13.700000
260.052185, 13.690920, 260.052979, 13.700000
260.052979, 13.690920, 260.052979, 13.700000
260.053772, 13.690920, 260.052979, 13.700000
581.087402, 13.690920, 581.087843, 13.716426
581.090088, 13.690920, 581.087843, 13.716426
260.052979, 13.713912, 260.052979, 13.700000
260.053772, 13.713912, 260.052979, 13.700000
422.035034, 13.713912, 422.036023, 13.731703
422.036682, 13.713912, 422.036023, 13.731703
581.087402, 13.713912, 581.087843, 13.716426
581.090088, 13.713912, 581.087843, 13.716426
422.035034, 13.736912, 422.036023, 13.731703
422.036682, 13.736912, 422.036023, 13.731703
508.001587, 13.736912, 508.003022, 13.767267
508.003754, 13.736912, 508.003022, 13.767267
525.028564, 13.736912, 525.029571, 13.751384
525.030823, 13.736912, 525.029571, 13.751384
581.087402, 13.736912, 581.087843, 13.716426
581.090088, 13.736912, 581.087843, 13.716426
422.035034, 13.760082, 422.036023, 13.731703
422.036682, 13.760082, 422.036023, 13.731703
508.001587, 13.760082, 508.003022, 13.767267
508.003754, 13.760082, 508.003022, 13.767267
525.028564, 13.760082, 525.029571, 13.751384
525.030823, 13.760082, 525.029571, 13.751384
529.983887, 13.760082, 529.984966, 13.791586
529.986206, 13.760082, 529.984966, 13.791586
508.001587, 13.783078, 508.003022, 13.767267
