96.96962, [M-H]-,[M-H]-,H3PO4,,"Phosphoric acid (phosphate, anion) also from oligonucleotides or phosphopeptides",,,F
112.98559, [M-H]-,[M-H]-,CF3COOH,,"Trifluoroacetic acid, TFA (anion)",,,F
112.98563, [M2+Na-2H]-,[M2+Na-2H]-,HCOOH,,"Formic acid, dimer, FA (anion)",,,F
126.90502, A-,A-,I,,Iodine anion (Iodide),,,V
162.9824, [M-H]-,[M-H]-,CF3CF2COOH,,"Pentafluoropropionic acid, Perfluoropropionic acid",,,E
212.07507, [M-H]-,[M-H]-,C10H15NO2S,,n-butyl benzenesulfonamide,,,"A, K"
226.97845, [M2-H]-,[M2-H]-,CF3COOH,,"Trifluoroacetic acid, TFA (anion)",,,A
248.9604, [M2+Na-2H]-,[M2+Na-2H]-,CF3COOH,,"Trifluoroacetic acid, TFA, sodiated (anion)",,,A
255.23295, [M-H]-,[M-H]-,C16H32O2,,Palmitic acid (carboxylate anion) C16:0,,,K
281.2486, [M-H]-,[M-H]-,C18H34O2,,Oleic acid (carboxylate anion) C18:1,,,K
283.26425, [M-H]-,[M-H]-,C18H36O2,,Stearic acid (carboxylate anion) 18:0,,,K
316.7391, [63CuI+I]-,[63CuI+I]-,CuI,,Copper catalyst iodide adduct,,,K
318.73729, [65CuI+I]-,[65CuI+I]-,CuI,,Copper catalyst iodide adduct,,,K
,,,,,,,,
352.978649,C13H5O12-,,,,,,,
353.015034,C14H9O11-,,,,,,,
353.05142,C15H13O10-,,,,,,,
353.087805,C16H17O9-,,,,,,,
353.12419,C17H21O8-,,,,,,,
353.160576,C18H25O7-,,,,,,,
353.196961,C19H29O6-,,,,,,,
353.233347,C20H33O5-,,,,,,,
353.269732,C21H37O4-,,,,,,,
353.306117,C22H41O3-,,,,,,,
353.342503,C23H45O2-,,,,,,,
362.999384,C15H7O11-,,,,,,,
363.03577,C16H11O10-,,,,,,,
363.072155,C17H15O9-,,,,,,,
363.10854,C18H19O8-,,,,,,,
363.144926,C19H23O7-,,,,,,,
363.181311,C20H27O6-,,,,,,,
363.217696,C21H31O5-,,,,,,,
363.254082,C22H35O4-,,,,,,,
363.290467,C23H39O3-,,,,,,,
363.326853,C24H43O2-,,,,,,,
364.978649,C14H5O12-,,,,,,,
365.015034,C15H9O11-,,,,,,,
365.05142,C16H13O10-,,,,,,,
365.087805,C17H17O9-,,,,,,,
365.12419,C18H21O8-,,,,,,,
365.160576,C19H25O7-,,,,,,,
365.196961,C20H29O6-,,,,,,,
365.233347,C21H33O5-,,,,,,,
365.269732,C22H37O4-,,,,,,,
365.306117,C23H41O3-,,,,,,,
365.342503,C24H45O2-,,,,,,,
366.957913,C13H3O13-,,,,,,,
366.994299,C14H7O12-,,,,,,,
367.030684,C15H11O11-,,,,,,,
367.06707,C16H15O10-,,,,,,,
367.103455,C17H19O9-,,,,,,,
367.13984,C18H23O8-,,,,,,,
367.176226,C19H27O7-,,,,,,,
367.212611,C20H31O6-,,,,,,,
367.248996,C21H35O5-,,,,,,,
367.285382,C22H39O4-,,,,,,,
367.321767,C23H43O3-,,,,,,,
367.358153,C24H47O2-,,,,,,,
376.978649,C15H5O12-,,,,,,,
377.015034,C16H9O11-,,,,,,,
377.05142,C17H13O10-,,,,,,,
377.087805,C18H17O9-,,,,,,,
377.12419,C19H21O8-,,,,,,,
377.160576,C20H25O7-,,,,,,,
377.196961,C21H29O6-,,,,,,,
377.233347,C22H33O5-,,,,,,,
377.269732,C23H37O4-,,,,,,,
377.306117,C24H41O3-,,,,,,,
377.342503,C25H45O2-,,,,,,,
378.994299,C15H7O12-,,,,,,,
379.030684,C16H11O11-,,,,,,,
379.06707,C17H15O10-,,,,,,,
379.103455,C18H19O9-,,,,,,,
379.13984,C19H23O8-,,,,,,,
379.176226,C20H27O7-,,,,,,,
379.212611,C21H31O6-,,,,,,,
379.248996,C22H35O5-,,,,,,,
379.285382,C23H39O4-,,,,,,,
379.321767,C24H43O3-,,,,,,,
379.358153,C25H47O2-,,,,,,,
380.973563,C14H5O13-,,,,,,,
381.009949,C15H9O12-,,,,,,,
381.046334,C16H13O11-,,,,,,,
381.082719,C17H17O10-,,,,,,,
381.119105,C18H21O9-,,,,,,,
381.15549,C19H25O8-,,,,,,,
381.191876,C20H29O7-,,,,,,,
381.228261,C21H33O6-,,,,,,,
381.264647,C22H37O5-,,,,,,,
381.301032,C23H41O4-,,,,,,,
381.337417,C24H45O3-,,,,,,,
381.373803,C25H49O2-,,,,,,,
390.994299,C16H7O12-,,,,,,,
391.030684,C17H11O11-,,,,,,,
391.06707,C18H15O10-,,,,,,,
391.103455,C19H19O9-,,,,,,,
391.13984,C20H23O8-,,,,,,,
391.176226,C21H27O7-,,,,,,,
391.212611,C22H31O6-,,,,,,,
391.248996,C23H35O5-,,,,,,,
391.285382,C24H39O4-,,,,,,,
391.321767,C25H43O3-,,,,,,,
391.358153,C26H47O2-,,,,,,,
392.973563,C15H5O13-,,,,,,,
393.009949,C16H9O12-,,,,,,,
393.046334,C17H13O11-,,,,,,,
393.082719,C18H17O10-,,,,,,,
393.119105,C19H21O9-,,,,,,,
393.15549,C20H25O8-,,,,,,,
393.191876,C21H29O7-,,,,,,,
393.228261,C22H33O6-,,,,,,,
393.264647,C23H37O5-,,,,,,,
393.301032,C24H41O4-,,,,,,,
393.337417,C25H45O3-,,,,,,,
393.373803,C26H49O2-,,,,,,,
394.989213,C15H7O13-,,,,,,,
395.025599,C16H11O12-,,,,,,,
395.061984,C17H15O11-,,,,,,,
395.098369,C18H19O10-,,,,,,,
395.134755,C19H23O9-,,,,,,,
395.17114,C20H27O8-,,,,,,,
395.207526,C21H31O7-,,,,,,,
395.243911,C22H35O6-,,,,,,,
395.280296,C23H39O5-,,,,,,,
395.316682,C24H43O4-,,,,,,,
395.353067,C25H47O3-,,,,,,,
395.389453,C26H51O2-,,,,,,,
404.973563,C16H5O13-,,,,,,,
405.009949,C17H9O12-,,,,,,,
405.046334,C18H13O11-,,,,,,,
405.082719,C19H17O10-,,,,,,,
405.119105,C20H21O9-,,,,,,,
405.15549,C21H25O8-,,,,,,,
405.191876,C22H29O7-,,,,,,,
405.228261,C23H33O6-,,,,,,,
405.264647,C24H37O5-,,,,,,,
405.301032,C25H41O4-,,,,,,,
405.337417,C26H45O3-,,,,,,,
